Namespace(batchSize=100, beta1=0.5, cuda=True, dirCheckpoints='/nfs/bigdisk/bsonawane/LightTransfer_Exp/Latent_Space/2_CNN_64//checkpoints/dae-2', dirDataroot='/nfs/bigmind/add_ssd/zhshu/data/Multipie/crops14/', dirImageoutput='/nfs/bigdisk/bsonawane/LightTransfer_Exp/Latent_Space/2_CNN_64//images/train', dirTestingoutput='/nfs/bigdisk/bsonawane/LightTransfer_Exp/Latent_Space/2_CNN_64//images/test', epoch_iter=600, f='', gpu_ids=0, idim=32, imgSize=64, location=0, lr=0.0002, manualSeed=None, modelPath='', nc=3, ndf=32, ngf=32, ngpu=1, niter=25, sdim=16, tdim=16, useDense=True, use_celeba=False, use_dropout=0, use_gpu=True, wdim=128, workers=8, zdim=128)
Random Seed:  9623
No previous model found, initializing model weight.
0
Loading Dataset
Path: ['/nfs/bigmind/add_ssd/zhshu/data/Multipie/crops14/session01_crops14']
Loading: /nfs/bigmind/add_ssd/zhshu/data/Multipie/crops14/session01_crops14 session01
Session:  session01
50190
torch.Size([64, 64, 3]) torch.Size([64, 64, 3])
Path: ['/nfs/bigmind/add_ssd/zhshu/data/Multipie/crops14/session_test_crops14']
Loading: /nfs/bigmind/add_ssd/zhshu/data/Multipie/crops14/session_test_crops14 session_test
Session:  session_test
2100
torch.Size([64, 64, 3]) torch.Size([64, 64, 3])
Dataset Loaded
Log done
Iteration[53] loss -- all:  0.1767 .. recon:  0.1178 .. tvw: 0.0532 .. br: 0.0044 .. intr_s: 0.0013 .. 
Iteration[54] loss -- all:  0.1700 .. recon:  0.1111 .. tvw: 0.0529 .. br: 0.0044 .. intr_s: 0.0016 .. 
Iteration[55] loss -- all:  0.1667 .. recon:  0.1080 .. tvw: 0.0528 .. br: 0.0044 .. intr_s: 0.0015 .. 
Iteration[56] loss -- all:  0.1716 .. recon:  0.1131 .. tvw: 0.0527 .. br: 0.0044 .. intr_s: 0.0014 .. 
Iteration[57] loss -- all:  0.1658 .. recon:  0.1073 .. tvw: 0.0527 .. br: 0.0044 .. intr_s: 0.0013 .. 
Iteration[58] loss -- all:  0.1711 .. recon:  0.1124 .. tvw: 0.0528 .. br: 0.0044 .. intr_s: 0.0014 .. 
Iteration[59] loss -- all:  0.1661 .. recon:  0.1076 .. tvw: 0.0527 .. br: 0.0044 .. intr_s: 0.0014 .. 
Iteration[60] loss -- all:  0.1647 .. recon:  0.1062 .. tvw: 0.0527 .. br: 0.0044 .. intr_s: 0.0014 .. 
Iteration[61] loss -- all:  0.1813 .. recon:  0.1227 .. tvw: 0.0529 .. br: 0.0044 .. intr_s: 0.0013 .. 
Iteration[62] loss -- all:  0.1694 .. recon:  0.1111 .. tvw: 0.0526 .. br: 0.0044 .. intr_s: 0.0014 .. 
Iteration[63] loss -- all:  0.1687 .. recon:  0.1105 .. tvw: 0.0525 .. br: 0.0044 .. intr_s: 0.0012 .. 
Iteration[64] loss -- all:  0.1662 .. recon:  0.1080 .. tvw: 0.0525 .. br: 0.0044 .. intr_s: 0.0013 .. 
Iteration[65] loss -- all:  0.1635 .. recon:  0.1054 .. tvw: 0.0525 .. br: 0.0044 .. intr_s: 0.0013 .. 
Iteration[66] loss -- all:  0.1630 .. recon:  0.1051 .. tvw: 0.0524 .. br: 0.0044 .. intr_s: 0.0012 .. 
Iteration[67] loss -- all:  0.1587 .. recon:  0.1008 .. tvw: 0.0524 .. br: 0.0044 .. intr_s: 0.0011 .. 
Iteration[68] loss -- all:  0.1603 .. recon:  0.1023 .. tvw: 0.0525 .. br: 0.0044 .. intr_s: 0.0011 .. 
Iteration[69] loss -- all:  0.1634 .. recon:  0.1052 .. tvw: 0.0526 .. br: 0.0044 .. intr_s: 0.0011 .. 
Iteration[70] loss -- all:  0.1602 .. recon:  0.1021 .. tvw: 0.0526 .. br: 0.0044 .. intr_s: 0.0011 .. 
Iteration[71] loss -- all:  0.1566 .. recon:  0.0985 .. tvw: 0.0526 .. br: 0.0044 .. intr_s: 0.0011 .. 
Iteration[72] loss -- all:  0.1575 .. recon:  0.0997 .. tvw: 0.0522 .. br: 0.0044 .. intr_s: 0.0011 .. 
Iteration[73] loss -- all:  0.1666 .. recon:  0.1089 .. tvw: 0.0522 .. br: 0.0044 .. intr_s: 0.0011 .. 
Iteration[74] loss -- all:  0.1623 .. recon:  0.1048 .. tvw: 0.0522 .. br: 0.0044 .. intr_s: 0.0009 .. 
Iteration[75] loss -- all:  0.1628 .. recon:  0.1050 .. tvw: 0.0523 .. br: 0.0044 .. intr_s: 0.0011 .. 
Iteration[76] loss -- all:  0.1612 .. recon:  0.1030 .. tvw: 0.0524 .. br: 0.0044 .. intr_s: 0.0013 .. 
Iteration[77] loss -- all:  0.1542 .. recon:  0.0961 .. tvw: 0.0525 .. br: 0.0044 .. intr_s: 0.0011 .. 
Iteration[78] loss -- all:  0.1593 .. recon:  0.1014 .. tvw: 0.0525 .. br: 0.0044 .. intr_s: 0.0010 .. 
Iteration[79] loss -- all:  0.1586 .. recon:  0.1006 .. tvw: 0.0525 .. br: 0.0044 .. intr_s: 0.0010 .. 
Iteration[80] loss -- all:  0.1553 .. recon:  0.0975 .. tvw: 0.0523 .. br: 0.0044 .. intr_s: 0.0010 .. 
Iteration[81] loss -- all:  0.1625 .. recon:  0.1049 .. tvw: 0.0521 .. br: 0.0044 .. intr_s: 0.0010 .. 
Iteration[82] loss -- all:  0.1610 .. recon:  0.1036 .. tvw: 0.0521 .. br: 0.0044 .. intr_s: 0.0009 .. 
Iteration[83] loss -- all:  0.1567 .. recon:  0.0991 .. tvw: 0.0522 .. br: 0.0044 .. intr_s: 0.0010 .. 
Iteration[84] loss -- all:  0.1551 .. recon:  0.0974 .. tvw: 0.0524 .. br: 0.0044 .. intr_s: 0.0009 .. 
Iteration[85] loss -- all:  0.1532 .. recon:  0.0955 .. tvw: 0.0524 .. br: 0.0044 .. intr_s: 0.0009 .. 
Iteration[86] loss -- all:  0.1548 .. recon:  0.0972 .. tvw: 0.0523 .. br: 0.0044 .. intr_s: 0.0010 .. 
Iteration[87] loss -- all:  0.1561 .. recon:  0.0987 .. tvw: 0.0521 .. br: 0.0044 .. intr_s: 0.0008 .. 
Iteration[88] loss -- all:  0.1527 .. recon:  0.0953 .. tvw: 0.0521 .. br: 0.0044 .. intr_s: 0.0009 .. 
Iteration[89] loss -- all:  0.1632 .. recon:  0.1057 .. tvw: 0.0521 .. br: 0.0044 .. intr_s: 0.0009 .. 
Iteration[90] loss -- all:  0.1585 .. recon:  0.1008 .. tvw: 0.0521 .. br: 0.0044 .. intr_s: 0.0012 .. 
Iteration[91] loss -- all:  0.1596 .. recon:  0.1022 .. tvw: 0.0521 .. br: 0.0044 .. intr_s: 0.0009 .. 
Iteration[92] loss -- all:  0.1542 .. recon:  0.0968 .. tvw: 0.0521 .. br: 0.0044 .. intr_s: 0.0009 .. 
Iteration[93] loss -- all:  0.1537 .. recon:  0.0964 .. tvw: 0.0520 .. br: 0.0044 .. intr_s: 0.0009 .. 
Iteration[94] loss -- all:  0.1538 .. recon:  0.0965 .. tvw: 0.0520 .. br: 0.0044 .. intr_s: 0.0009 .. 
Iteration[95] loss -- all:  0.1498 .. recon:  0.0925 .. tvw: 0.0520 .. br: 0.0044 .. intr_s: 0.0009 .. 
